date,verse_url,reference
2014-05-26T18:11:27.415000+00:00,1/GEN.15.15,Genesis 15:15
2014-05-26T18:18:15.604000+00:00,1/GEN.3.17,Genesis 3:17
2014-05-27T04:11:35.459000+00:00,1/GEN.19.20,Genesis 19:20
2014-05-27T03:55:33.174000+00:00,1/GEN.17.1,Genesis 17:1
2014-05-27T03:59:30.406000+00:00,1/GEN.18.1,Genesis 18:1
2014-05-27T05:02:06.865000+00:00,1/GEN.24.24,Genesis 24:24
2014-05-27T04:02:32.929000+00:00,1/GEN.18.15,Genesis 18:15
2014-05-27T05:27:26.319000+00:00,1/GEN.26.5,Genesis 26:5
2014-05-27T04:56:16.636000+00:00,1/GEN.24.8,Genesis 24:8
2014-05-27T04:56:35.437000+00:00,1/GEN.24.8,Genesis 24:8
2014-05-27T05:15:44.463000+00:00,1/GEN.24.30,Genesis 24:30
2014-05-28T04:59:33.947000+00:00,1/GEN.34.3,Genesis 34:3
2014-05-28T05:03:32.306000+00:00,1/GEN.34.13,Genesis 34:13
2014-05-28T04:55:28.064000+00:00,1/GEN.34.2,Genesis 34:2
2014-05-28T05:33:24.721000+00:00,1/GEN.35.22,Genesis 35:22
2014-05-29T04:12:12.239000+00:00,1/GEN.42.21,Genesis 42:21
2014-05-29T05:18:05.367000+00:00,1/GEN.45.3,Genesis 45:3
2014-05-29T06:26:24.298819+00:00,1/EXO.1.17,Exodus 1:17
2014-05-29T06:36:04.445000+00:00,1/EXO.2.4,Exodus 2:4
2014-05-31T06:05:41.090579+00:00,1/GEN.45.5,Genesis 45:5
2014-05-31T13:49:12.441000+00:00,1/EXO.10.1,Exodus 10:1
2014-05-31T17:00:34.600000+00:00,1/EXO.15.26,Exodus 15:26
2014-05-31T16:04:34.153482+00:00,1/EXO.13.2,Exodus 13:2
2014-05-31T16:24:16.487000+00:00,1/EXO.13.18,Exodus 13:18
2014-06-01T00:29:57.767000+00:00,1/EXO.19.22,Exodus 19:22
2014-06-01T01:08:08.591379+00:00,1/EXO.14.15,Exodus 14:15
